Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
312,Jerad Eickhoff\eickhje01,30,NYM,8,0.321,99,0.4,0,0.00%,0.00%,0.00%,41.6,0.00%,0.00%,37.50%,0.00%,,0.00%,75.00%,25.00%,-0.1,-0.10%,-0.7,0%,,0%
313,Seth Elledge\elledse01,25,STL,2,0,-124,0,0,0.00%,0.00%,0.00%,74.8,0.00%,0.00%,100.00%,0.00%,,50.00%,50.00%,0.00%,0,0.00%,-0.9,,,
314,Drew Ellis\ellisdr01,25,ARI,83,0.231,31,0.195,0.072,1.20%,32.50%,12.10%,81.8,26.20%,23.80%,33.30%,28.60%,0.5,40.50%,42.90%,16.70%,-1,0.00%,-6.4,41%,,63%
315,Adam Engel\engelad01,29,CHW,140,0.359,121,0.279,0.244,5.00%,22.10%,7.90%,86.8,37.40%,25.80%,41.90%,22.60%,0.72,31.20%,49.50%,19.40%,0.3,0.30%,2.8,35%,88%,53%
316,Nathan Eovaldi\eovalna01,31,BOS,3,0.231,29,0,0,0.00%,33.30%,33.30%,70.3,0.00%,0.00%,100.00%,0.00%,,0.00%,0.00%,100.00%,0,0.00%,-0.1,100%,,
317,Alcides Escobar\escobal02,34,WSN,349,0.33,104,0.337,0.116,1.20%,16.10%,4.90%,80.4,21.00%,28.80%,42.30%,20.60%,0.77,27.00%,51.70%,21.30%,0.3,0.00%,7.9,43%,100%,43%
318,Eduardo Escobar\escobed01,32,TOT,599,0.343,110,0.279,0.219,4.70%,20.70%,8.00%,86.9,34.60%,23.00%,33.10%,33.30%,0.5,34.70%,48.40%,16.90%,0.2,-0.40%,18.2,31%,100%,37%
319,Eduardo Escobar\escobed01,32,ARI,400,0.337,106,0.261,0.232,5.50%,21.30%,7.30%,87.4,35.30%,22.00%,32.50%,35.00%,0.48,31.80%,52.80%,15.40%,-0.2,-0.50%,11.2,29%,100%,35%
320,Eduardo Escobar\escobed01,32,MIL,199,0.354,117,0.313,0.19,3.00%,19.60%,9.60%,85.8,33.10%,25.00%,34.30%,30.00%,0.52,40.70%,39.30%,20.00%,0.4,0.10%,7,34%,,40%
321,Thomas Eshelman\eshelto01,27,BAL,1,0,-129,0,0,0.00%,0.00%,0.00%,57.3,0.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,-0.4,,,
322,Santiago Espinal\espinsa01,26,TOR,246,0.346,114,0.353,0.095,0.80%,12.20%,8.90%,84.4,22.80%,26.90%,42.00%,20.20%,0.74,28.00%,49.20%,22.80%,-1.3,-0.70%,-2.3,33%,86%,57%
323,Paolo Espino\espinpa01,34,WSN,33,0.177,-13,0.333,0,0.00%,45.50%,0.00%,76,22.20%,27.80%,38.90%,11.10%,1,22.20%,72.20%,5.60%,-0.6,-0.10%,-6.4,40%,,0%
324,Thairo Estrada\estrath01,25,SFG,132,0.355,119,0.286,0.207,5.30%,17.40%,6.80%,85.5,34.70%,18.40%,50.00%,19.40%,1.04,28.60%,51.00%,20.40%,-0.1,0.00%,6.4,32%,100%,53%
325,Phillip Evans\evansph01,28,PIT,247,0.292,75,0.25,0.093,2.00%,21.50%,11.30%,88.3,42.90%,19.90%,56.50%,17.40%,1.3,23.60%,63.40%,13.00%,-1.6,-0.30%,-10.1,25%,100%,41%
326,Stuart Fairchild\faircst01,25,ARI,17,0.21,16,0.167,0.067,0.00%,17.70%,5.90%,81.3,16.70%,25.00%,41.70%,25.00%,0.71,41.70%,50.00%,8.30%,-0.2,0.00%,-1.1,75%,,50%
327,Bailey Falter\falteba01,24,PHI,5,0,-132,,0,0.00%,100.00%,0.00%,,,,,,,,,,-0.1,-0.10%,-1.2,,,
328,Johneshwy Fargas\fargajo01,26,TOT,54,0.262,65,0.351,0.135,0.00%,27.80%,1.90%,80.1,24.30%,18.40%,50.00%,15.80%,1.19,28.90%,50.00%,21.10%,-0.8,-0.30%,-6.5,29%,33%,50%
329,Johneshwy Fargas\fargajo01,26,NYM,22,0.338,112,0.429,0.238,0.00%,31.80%,0.00%,74.1,13.30%,33.30%,33.30%,6.70%,0.56,20.00%,53.30%,26.70%,-0.3,-0.20%,-1.4,17%,,100%
330,Johneshwy Fargas\fargajo01,26,CHC,32,0.212,34,0.304,0.065,0.00%,25.00%,3.10%,84.1,31.80%,8.70%,60.90%,21.70%,2,34.80%,47.80%,17.40%,-0.5,0.00%,-5.1,38%,33%,33%
331,Jake Faria\fariaja01,27,ARI,3,0.415,162,0.5,0.333,0.00%,33.30%,0.00%,95.7,50.00%,0.00%,100.00%,0.00%,,50.00%,50.00%,0.00%,0,0.00%,0.2,100%,,100%
332,Kyle Farmer\farmeky01,30,CIN,529,0.32,83,0.296,0.153,3.00%,18.30%,4.20%,87.1,32.00%,25.30%,40.60%,25.50%,0.69,27.60%,56.40%,16.10%,-0.6,-0.40%,-3.5,29%,40%,49%
333,Erick Fedde\feddeer01,28,WSN,43,0.018,-143,0,0,0.00%,32.60%,2.30%,67.5,14.30%,7.10%,50.00%,10.70%,2.33,7.10%,60.70%,32.10%,-0.7,-0.10%,-8.6,0%,,
334,Mario Feliciano\felicma01,22,MIL,1,0.696,359,,,0.00%,0.00%,100.00%,,,,,,,,,,0.2,0.10%,0.8,100%,,50%
335,Ryan Feltner\feltnry01,24,COL,1,0,-144,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.2,,,
336,Junior Fernandez\fernaju01,24,STL,1,0,-124,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.2,,,
337,Derek Fisher\fishede01,27,MIL,8,0.309,84,0.286,0.25,0.00%,12.50%,0.00%,89.4,14.30%,0.00%,71.40%,14.30%,2.5,42.90%,28.60%,28.60%,-0.1,-0.10%,-0.4,50%,,
338,Jack Flaherty\flaheja01,25,STL,26,0.278,69,0.1,0.176,3.90%,26.90%,19.20%,69.3,28.60%,35.70%,21.40%,7.10%,0.43,7.10%,50.00%,42.90%,-0.2,-0.10%,-0.7,17%,,25%
339,Josh Fleming\flemijo01,25,TBR,1,0,-117,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.1,,,
340,David Fletcher\fletcda02,27,LAA,665,0.276,64,0.287,0.062,0.30%,9.00%,4.70%,81.5,15.80%,27.10%,47.60%,16.20%,0.94,21.50%,51.00%,27.60%,-1.4,0.20%,-16.4,37%,83%,51%
341,Chris Flexen\flexech01,26,SEA,3,0,-121,0,0,0.00%,0.00%,0.00%,79.5,0.00%,33.30%,0.00%,33.30%,0,33.30%,66.70%,0.00%,0,0.00%,-0.5,,,
342,Wilmer Flores\florewi01,29,SFG,436,0.348,115,0.264,0.185,4.10%,12.80%,9.40%,88.6,35.50%,22.90%,37.20%,32.10%,0.59,33.30%,53.00%,13.70%,0,0.40%,-0.6,31%,100%,30%
343,Estevan Florial\flories01,23,NYY,25,0.425,167,0.385,0.25,4.00%,24.00%,20.00%,89.3,64.30%,28.60%,50.00%,21.40%,1,35.70%,42.90%,21.40%,-0.1,-0.10%,0.2,20%,100%,67%
344,Mike Foltynewicz\foltymi01,29,TEX,2,0,-125,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.6,,,
345,Mike Ford\fordmi01,28,NYY,72,0.265,61,0.147,0.15,4.20%,31.90%,15.30%,90.9,48.60%,16.20%,37.80%,40.50%,0.61,27.00%,62.20%,10.80%,-0.4,-0.20%,-3.7,18%,,50%
346,Nick Fortes\forteni01,24,MIA,34,0.437,174,0.263,0.387,11.80%,23.50%,8.80%,91.3,52.20%,17.40%,30.40%,30.40%,0.44,17.40%,69.60%,13.00%,0.2,0.00%,4.1,25%,100%,50%
347,Dexter Fowler\fowlede01,35,LAA,21,0.252,42,0.357,0,0.00%,28.60%,4.80%,86.7,42.90%,14.30%,35.70%,42.90%,0.56,42.90%,28.60%,28.60%,-0.2,-0.10%,-1.6,50%,100%,
348,Dustin Fowler\fowledu01,26,PIT,46,0.204,10,0.318,0.024,0.00%,43.50%,6.50%,89.5,31.80%,18.20%,40.90%,27.30%,0.69,40.90%,45.50%,13.60%,-0.2,-0.10%,-2.8,27%,100%,50%
349,Jake Fraley\fraleja01,26,SEA,265,0.336,113,0.265,0.159,3.40%,26.80%,17.40%,84.9,33.60%,28.80%,39.00%,27.40%,0.65,32.20%,52.10%,15.80%,0.8,0.60%,8.6,21%,83%,36%
350,Ty France\francty01,26,SEA,650,0.36,134,0.327,0.154,2.80%,16.30%,7.10%,88.5,38.90%,26.50%,46.70%,21.20%,0.88,25.30%,56.90%,17.80%,1.9,0.50%,17.8,30%,,43%
351,Maikel Franco\francma02,28,BAL,403,0.266,58,0.225,0.146,2.70%,16.60%,5.00%,88.2,33.90%,21.70%,48.60%,20.80%,0.94,32.90%,54.60%,12.50%,-2.2,-0.30%,-17.1,22%,,25%
352,Wander Franco\francwa01,20,TBR,308,0.356,134,0.311,0.174,2.30%,12.00%,7.80%,88.2,37.60%,25.70%,45.30%,22.00%,0.83,27.80%,55.90%,16.30%,1.5,1.20%,14.8,46%,67%,58%
353,Seth Frankoff\frankse01,32,ARI,4,0.174,-9,0,0,0.00%,50.00%,25.00%,70.4,0.00%,0.00%,100.00%,0.00%,,100.00%,0.00%,0.00%,-0.1,0.00%,-1.2,0%,,
354,Adam Frazier\fraziad01,29,TOT,639,0.343,114,0.339,0.106,0.80%,10.80%,7.50%,85,25.30%,31.30%,41.40%,20.30%,0.72,28.90%,49.80%,21.30%,0.7,0.10%,3,34%,67%,36%
355,Adam Frazier\fraziad01,29,PIT,428,0.364,128,0.359,0.124,0.90%,10.80%,8.20%,85.4,26.30%,32.80%,37.00%,22.60%,0.59,29.60%,48.40%,22.00%,0.9,0.30%,9,33%,56%,30%
356,Adam Frazier\fraziad01,29,SDP,211,0.297,84,0.299,0.068,0.50%,10.90%,6.20%,84.2,23.40%,28.10%,50.30%,15.80%,1.05,27.50%,52.60%,19.90%,-0.2,-0.20%,-6,36%,83%,59%
357,Clint Frazier\frazicl01,26,NYY,218,0.29,77,0.257,0.131,2.30%,29.80%,14.70%,86.9,41.50%,22.90%,45.80%,18.60%,0.84,27.10%,57.60%,15.30%,-0.9,-0.60%,-11.8,23%,100%,33%
358,Todd Frazier\frazito01,35,PIT,40,0.21,17,0.103,0.029,0.00%,15.00%,7.50%,87.5,34.50%,13.80%,48.30%,24.10%,0.93,41.40%,41.40%,17.20%,-0.5,-0.20%,-3,38%,,100%
359,Kyle Freeland\freelky01,28,COL,40,0.218,0,0.353,0.03,0.00%,42.50%,5.00%,61.1,14.30%,9.50%,19.00%,28.60%,0.5,28.60%,42.90%,28.60%,-0.3,0.00%,-3.2,38%,,33%
360,Freddie Freeman\freemfr01,31,ATL,695,0.391,137,0.321,0.203,4.50%,15.40%,12.20%,91.4,46.20%,25.10%,43.20%,28.90%,0.76,27.30%,54.50%,18.20%,3.5,2.40%,42.1,37%,73%,53%
361,Mike Freeman\freemmi01,33,CIN,65,0.202,0,0.282,0,0.00%,30.80%,7.70%,79,17.90%,23.10%,46.20%,28.20%,0.9,25.60%,51.30%,23.10%,-0.4,-0.20%,-7.1,35%,50%,50%
362,Max Fried\friedma01,27,ATL,67,0.29,61,0.405,0.055,0.00%,26.90%,6.00%,77.2,33.30%,28.90%,42.20%,8.90%,1.12,11.10%,71.10%,17.80%,0,-0.10%,-0.6,37%,,60%
363,TJ Friedl\friedtj01,25,CIN,36,0.34,96,0.276,0.129,2.80%,5.60%,11.10%,88.1,33.30%,23.30%,30.00%,30.00%,0.43,40.00%,40.00%,20.00%,-0.3,0.00%,-1.1,67%,,57%
364,Joshua Fuentes\fuentjo01,28,COL,284,0.271,48,0.27,0.125,2.50%,22.90%,4.20%,85.2,27.50%,18.40%,39.10%,33.30%,0.64,24.80%,53.40%,21.80%,-1.4,-0.20%,-14.6,35%,,67%
365,Carson Fulmer\fulmeca01,27,CIN,2,0,-145,0,0,0.00%,0.00%,0.00%,67.4,0.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,-0.4,,,
366,Cam Gallagher\gallaca01,28,KCR,124,0.292,75,0.293,0.08,0.80%,16.10%,6.50%,84.2,26.30%,32.60%,36.80%,20.00%,0.61,28.40%,50.50%,21.10%,-0.1,0.00%,-2.9,23%,,19%
367,Zac Gallen\galleza01,25,ARI,42,0.2,-15,0.429,0.063,0.00%,42.90%,2.40%,62.8,34.80%,21.70%,21.70%,0.00%,0.83,4.30%,65.20%,30.40%,-0.6,0.00%,-7,29%,,0%
368,Joey Gallo\gallojo01,27,TOT,616,0.348,119,0.246,0.259,6.20%,34.60%,18.00%,89.8,45.80%,15.70%,32.90%,35.70%,0.52,35.30%,47.90%,16.80%,0.1,-0.20%,12.5,29%,100%,48%
369,Joey Gallo\gallojo01,27,TEX,388,0.374,137,0.275,0.268,6.40%,32.20%,19.10%,90.2,43.20%,18.40%,35.10%,31.90%,0.57,33.00%,47.60%,19.50%,0,-0.20%,17.2,26%,100%,40%
370,Joey Gallo\gallojo01,27,NYY,228,0.304,88,0.193,0.245,5.70%,38.60%,16.20%,89,50.50%,10.90%,28.70%,42.60%,0.43,39.60%,48.50%,11.90%,0.1,0.00%,-4.7,36%,,67%
371,Freddy Galvis\galvifr01,31,TOT,394,0.311,89,0.269,0.166,3.60%,19.50%,6.90%,85.9,31.70%,22.90%,38.00%,26.40%,0.63,33.50%,52.50%,14.10%,-1.7,-0.40%,-8.8,38%,100%,41%
372,Freddy Galvis\galvifr01,31,BAL,274,0.31,89,0.29,0.165,3.30%,21.20%,6.60%,86.3,32.50%,21.60%,39.20%,25.30%,0.67,30.40%,55.20%,14.40%,-1.7,-0.40%,-8.4,37%,100%,46%
373,Freddy Galvis\galvifr01,31,PHI,120,0.312,89,0.224,0.168,4.20%,15.80%,7.50%,85,30.00%,25.60%,35.60%,28.90%,0.55,40.00%,46.70%,13.30%,0,-0.10%,-0.4,40%,,33%
374,Ben Gamel\gamelbe01,29,TOT,400,0.322,101,0.329,0.141,2.00%,26.30%,12.80%,87.5,36.50%,33.20%,29.00%,29.00%,0.43,30.30%,54.80%,14.90%,-0.3,-0.30%,-4.4,27%,33%,44%
375,Ben Gamel\gamelbe01,29,CLE,17,0.195,10,0.125,0.071,0.00%,35.30%,17.70%,93.4,50.00%,25.00%,37.50%,25.00%,0.6,50.00%,50.00%,0.00%,-0.2,-0.20%,-1.9,25%,,
376,Ben Gamel\gamelbe01,29,PIT,383,0.327,105,0.336,0.144,2.10%,25.90%,12.50%,87.3,36.10%,33.50%,28.80%,29.20%,0.42,29.60%,54.90%,15.50%,-0.1,-0.10%,-2.5,27%,33%,44%
377,John Gant\gantjo01,28,TOT,18,0,-211,0,0,0.00%,44.40%,0.00%,53.9,10.00%,20.00%,20.00%,0.00%,0.67,0.00%,70.00%,30.00%,-0.4,-0.30%,-4.4,,,
378,John Gant\gantjo01,28,STL,18,0,-211,0,0,0.00%,44.40%,0.00%,53.9,10.00%,20.00%,20.00%,0.00%,0.67,0.00%,70.00%,30.00%,-0.4,-0.30%,-4.4,,,
379,Adolis García\garciad02,28,TEX,622,0.321,100,0.306,0.212,5.00%,31.20%,5.10%,90.8,45.50%,19.70%,42.70%,30.70%,0.75,28.60%,56.30%,15.10%,-0.6,0.50%,-6.1,31%,76%,47%
380,Aramis Garcia\garciar01,28,OAK,94,0.25,55,0.263,0.114,3.20%,29.80%,1.10%,87.5,37.10%,14.50%,53.20%,22.60%,1.22,32.30%,53.20%,14.50%,-0.2,0.00%,-4.9,26%,,43%
381,Avisail Garcia\garciav01,30,MIL,515,0.357,119,0.291,0.228,5.60%,23.50%,7.40%,90.4,46.40%,22.00%,48.40%,26.10%,0.94,28.70%,56.20%,15.10%,1.4,1.00%,15,28%,67%,46%
382,Jarlin Garcia\garcija04,28,SFG,2,0,-131,,0,0.00%,100.00%,0.00%,,,,,,,,,,-0.1,0.00%,-0.5,,,
383,Leury Garcia\garcile02,30,CHW,474,0.32,98,0.333,0.108,1.10%,20.50%,8.70%,84.1,32.60%,21.70%,53.60%,18.70%,1.26,25.90%,57.20%,16.90%,-0.9,-0.70%,-7.2,36%,75%,60%
384,Luis Garcia\garcilu04,21,WSN,247,0.295,84,0.273,0.169,2.40%,17.40%,4.50%,86.8,30.70%,23.80%,57.00%,16.10%,1.33,34.20%,50.30%,15.50%,-1.9,-0.20%,-10.8,37%,0%,44%
385,Luis Garcia\garcilu05,24,HOU,6,0,-127,0,0,0.00%,16.70%,0.00%,61.3,0.00%,0.00%,60.00%,0.00%,,20.00%,60.00%,20.00%,-0.2,-0.10%,-1.5,,,
386,Robel Garcia\garciro02,28,HOU,117,0.202,15,0.234,0.057,0.90%,35.90%,6.80%,85.6,33.30%,16.70%,45.50%,27.30%,0.86,39.40%,51.50%,9.10%,-0.5,-0.40%,-13.6,29%,,10%
387,Rony Garcia\garciro03,23,DET,1,0,-122,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.4,,,
388,Brett Gardner\gardnbr01,37,NYY,461,0.309,90,0.269,0.14,2.20%,21.70%,13.00%,85.7,33.40%,21.50%,44.00%,21.80%,0.81,26.50%,55.00%,18.50%,0.4,0.20%,-1.5,27%,100%,32%
389,Kyle Garlick\garliky01,29,MIN,107,0.316,97,0.286,0.232,4.70%,29.90%,5.60%,88.4,41.20%,19.10%,38.20%,32.40%,0.62,32.40%,51.50%,16.20%,0.4,0.00%,-3.6,48%,100%,20%
390,Dustin Garneau\garnedu01,33,DET,68,0.333,113,0.175,0.371,8.80%,26.50%,4.40%,86.4,43.50%,19.60%,34.80%,32.60%,0.53,43.50%,43.50%,13.00%,-0.4,0.00%,-3.2,27%,,0%
391,Braxton Garrett\garrebr01,23,MIA,11,0.163,-15,0.286,0,0.00%,36.40%,0.00%,84,14.30%,28.60%,57.10%,14.30%,1.33,14.30%,57.10%,28.60%,-0.1,0.00%,-1.4,50%,,0%
392,Mitch Garver\garvemi01,30,MIN,243,0.368,137,0.32,0.261,5.40%,29.20%,12.80%,92.3,53.60%,25.40%,31.20%,32.60%,0.45,40.60%,42.80%,16.70%,0.4,-0.30%,3.6,22%,50%,42%
393,Kevin Gausman\gausmke01,30,SFG,62,0.18,-12,0.417,0,0.00%,50.00%,3.20%,67.5,0.00%,10.30%,51.70%,6.90%,3,10.30%,69.00%,20.70%,-0.3,-0.20%,-7.8,50%,,0%
394,Domingo German\germado01,28,NYY,3,0,-239,,0,0.00%,66.70%,0.00%,54.8,0.00%,0.00%,0.00%,0.00%,,0.00%,100.00%,0.00%,-0.1,0.00%,-1.3,,,
395,Trent Giambrone\giambtr01,27,CHC,13,0.138,-35,0.222,0,0.00%,30.80%,0.00%,86,33.30%,0.00%,66.70%,33.30%,2,44.40%,44.40%,11.10%,-0.4,0.00%,-2.6,0%,,
396,Kyle Gibson\gibsoky01,33,TOT,30,0.162,-21,0.167,0.103,3.30%,33.30%,0.00%,73.9,20.00%,0.00%,65.00%,5.00%,4.33,15.00%,45.00%,40.00%,-0.3,-0.20%,-4.5,67%,,50%
397,Kyle Gibson\gibsoky01,33,TEX,2,0,-125,0,0,0.00%,50.00%,0.00%,26.2,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,100.00%,0,0.00%,-0.4,,,
398,Kyle Gibson\gibsoky01,33,PHI,28,0.174,-13,0.176,0.111,3.60%,32.10%,0.00%,76.4,21.10%,0.00%,68.40%,5.30%,4.33,15.80%,47.40%,36.80%,-0.3,-0.10%,-4.1,67%,,50%
399,Tyler Gilbert\gilbety01,27,ARI,11,0,-184,0,0,0.00%,54.60%,0.00%,48.1,0.00%,0.00%,40.00%,0.00%,,0.00%,40.00%,60.00%,-0.2,0.00%,-3.6,,,
400,Andres Gimenez\gimenan01,22,CLE,210,0.287,66,0.273,0.133,2.40%,25.70%,5.20%,85.4,30.70%,14.50%,49.30%,29.00%,1.01,36.20%,45.70%,18.10%,-0.2,-0.30%,-3,33%,100%,54%
401,Lucas Giolito\giolilu01,26,CHW,4,0.223,30,1,0,0.00%,75.00%,0.00%,105.6,100.00%,0.00%,100.00%,0.00%,,100.00%,0.00%,0.00%,-0.1,-0.10%,-1.2,0%,,100%
402,Chris Gittens\gittech01,27,NYY,44,0.216,26,0.13,0.083,2.30%,29.60%,15.90%,86.3,41.70%,16.70%,58.30%,20.80%,1.4,29.20%,54.20%,16.70%,-0.5,-0.30%,-3.9,0%,,50%
403,Tyler Glasnow\glasnty01,27,TBR,2,0,-117,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.3,,,
404,Zack Godley\godleza01,31,MIL,1,,,,,0.00%,0.00%,0.00%,30.7,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,100.00%,0,0.00%,-0.2,,,
405,Jose Godoy\godoyjo01,26,SEA,40,0.194,16,0.261,0.027,0.00%,35.00%,7.50%,86.2,34.80%,17.40%,47.80%,30.40%,0.92,30.40%,60.90%,8.70%,-0.5,-0.30%,-3.2,22%,,100%
406,Paul Goldschmidt\goldspa01,33,STL,679,0.389,148,0.331,0.221,4.60%,20.00%,9.90%,92.6,50.70%,24.60%,37.30%,31.10%,0.59,26.90%,53.60%,19.50%,3,1.00%,32.9,33%,100%,51%
407,Austin Gomber\gombeau01,27,COL,42,0.127,-96,0.158,0,0.00%,31.00%,2.40%,60.4,12.00%,7.10%,35.70%,10.70%,1.43,28.60%,57.10%,14.30%,-0.8,-0.10%,-9.4,0%,,0%
408,Yan Gomes\gomesya01,33,TOT,375,0.314,97,0.287,0.169,3.70%,20.80%,5.10%,89.6,38.20%,30.50%,37.90%,24.30%,0.61,28.70%,58.10%,13.20%,0.3,0.20%,-1.7,35%,,50%
409,Yan Gomes\gomesya01,33,WSN,235,0.337,111,0.309,0.183,3.80%,20.00%,5.50%,89.3,39.20%,29.80%,44.40%,18.70%,0.8,28.10%,59.10%,12.90%,0.5,0.20%,2.6,31%,,42%
410,Yan Gomes\gomesya01,33,OAK,140,0.278,75,0.25,0.145,3.60%,22.10%,4.30%,90.2,36.60%,31.70%,26.70%,33.70%,0.36,29.70%,56.40%,13.90%,-0.2,-0.10%,-4.3,44%,,62%
411,Tony Gonsolin\gonsoto01,27,LAD,19,0.197,1,0.333,0.059,0.00%,42.10%,5.30%,79.3,20.00%,10.00%,70.00%,10.00%,3.5,40.00%,50.00%,10.00%,-0.2,-0.20%,-1.5,50%,,33%
412,Marco Gonzales\gonzama02,29,SEA,4,0,-121,0,0,0.00%,50.00%,0.00%,62.3,50.00%,50.00%,0.00%,0.00%,0,0.00%,100.00%,0.00%,-0.2,-0.10%,-1.5,,,
413,Chi Chi Gonzalez\gonzach01,29,COL,34,0.173,-29,0.333,0.032,0.00%,47.10%,2.90%,70.8,29.40%,17.60%,47.10%,11.80%,1.6,0.00%,82.40%,17.60%,-0.4,-0.10%,-5.4,50%,,0%
414,Erik Gonzalez\gonzaer01,29,PIT,229,0.244,44,0.274,0.068,0.90%,17.50%,3.50%,87,31.80%,22.10%,62.40%,12.70%,1.66,19.30%,60.80%,19.90%,-2,-0.80%,-13.1,26%,50%,31%
415,Luis Gonzalez\gonzalu03,25,CHW,11,0.413,164,0.333,0.25,0.00%,18.20%,27.30%,86.9,50.00%,33.30%,33.30%,33.30%,0.5,16.70%,66.70%,16.70%,0,0.00%,1,40%,,
416,Marwin Gonzalez\gonzama01,32,TOT,307,0.26,50,0.258,0.105,1.60%,25.40%,6.50%,86.9,34.70%,23.00%,50.00%,16.50%,1.04,37.50%,48.00%,14.50%,-1.9,-1.20%,-20.4,32%,60%,39%
417,Marwin Gonzalez\gonzama01,32,BOS,271,0.258,48,0.275,0.083,0.70%,25.80%,7.00%,87,36.40%,25.90%,48.30%,15.50%,0.98,37.40%,47.70%,14.90%,-1.5,-1.20%,-18.4,31%,60%,43%
418,Marwin Gonzalez\gonzama01,32,HOU,36,0.273,66,0.13,0.265,8.30%,22.20%,2.80%,86,23.10%,3.80%,61.50%,23.10%,1.6,38.50%,50.00%,11.50%,-0.4,0.00%,-2,40%,,0%
419,Romy Gonzalez\gonzaro01,24,CHW,33,0.262,58,0.381,0.094,0.00%,33.30%,3.00%,87.1,40.00%,23.80%,52.40%,23.80%,1.1,23.80%,52.40%,23.80%,-0.3,0.00%,-3,44%,,50%
420,Niko Goodrum\goodrni01,29,DET,325,0.292,83,0.301,0.145,2.80%,32.90%,8.90%,88,40.00%,24.30%,41.10%,31.40%,0.7,30.80%,53.00%,16.20%,-0.9,-0.30%,-9.6,35%,74%,50%
421,Brian Goodwin\goodwbr01,30,CHW,271,0.309,90,0.259,0.153,3.00%,21.40%,12.20%,88.1,31.80%,26.30%,36.90%,29.10%,0.59,39.10%,43.60%,17.30%,-0.6,0.60%,-1.6,32%,100%,33%
422,Nick Gordon\gordoni01,25,MIN,216,0.299,81,0.31,0.115,1.90%,25.50%,5.60%,91.2,47.90%,26.70%,50.70%,20.50%,1.03,30.80%,54.80%,14.40%,0.4,0.00%,-2.1,25%,91%,56%
423,Phil Gosselin\gosseph01,32,LAA,373,0.301,84,0.322,0.101,1.90%,21.70%,6.40%,87,35.20%,22.30%,44.50%,26.80%,0.82,21.90%,57.00%,21.10%,-1.1,-0.30%,-2.3,30%,67%,43%
424,Ashton Goudeau\goudeas01,28,TOT,6,0.15,-38,0.5,0,0.00%,66.70%,0.00%,86.9,0.00%,50.00%,50.00%,0.00%,1,100.00%,0.00%,0.00%,-0.1,0.00%,-1.7,0%,,
425,Ashton Goudeau\goudeas01,28,COL,6,0.15,-38,0.5,0,0.00%,66.70%,0.00%,86.9,0.00%,50.00%,50.00%,0.00%,1,100.00%,0.00%,0.00%,-0.1,0.00%,-1.7,0%,,
426,Yasmani Grandal\grandya01,32,CHW,375,0.406,160,0.246,0.28,6.10%,21.90%,23.20%,92.6,53.20%,21.70%,40.40%,27.60%,0.69,36.50%,51.70%,11.80%,2.6,1.20%,27,28%,,23%
427,Brusdar Graterol\gratebr01,22,LAD,2,0,-133,0,0,0.00%,0.00%,0.00%,93.7,50.00%,0.00%,50.00%,0.00%,1,50.00%,50.00%,0.00%,0,0.00%,-0.8,,,
428,Jon Gray\grayjo02,29,COL,50,0.096,-87,0.333,0,0.00%,64.00%,0.00%,73.6,27.80%,27.80%,27.80%,11.10%,0.56,11.10%,72.20%,16.70%,-0.8,0.00%,-9.5,40%,,17%
429,Josiah Gray\grayjo03,23,TOT,24,0.069,-87,0.1,0,0.00%,50.00%,4.20%,70.8,36.40%,27.30%,45.50%,0.00%,1.67,0.00%,45.50%,54.50%,-0.6,-0.10%,-6.5,0%,,
430,Josiah Gray\grayjo03,23,LAD,3,0,-133,,0,0.00%,100.00%,0.00%,,,,,,,,,,-0.1,-0.10%,-1.1,,,
431,Josiah Gray\grayjo03,23,WSN,21,0.08,-80,0.1,0,0.00%,42.90%,4.80%,70.8,36.40%,27.30%,45.50%,0.00%,1.67,0.00%,45.50%,54.50%,-0.5,0.00%,-5.4,0%,,
432,Sonny Gray\grayso01,31,CIN,43,0.136,-52,0.194,0,0.00%,23.30%,2.30%,71.2,3.20%,9.40%,68.80%,6.30%,3.67,3.10%,68.80%,28.10%,-0.8,-0.50%,-9.8,57%,,20%
433,Didi Gregorius\gregodi01,31,PHI,408,0.279,64,0.217,0.16,3.20%,16.40%,6.10%,85.8,26.80%,21.80%,38.00%,26.00%,0.62,35.70%,47.40%,16.90%,-1.8,-1.50%,-19.4,23%,100%,48%
434,Grayson Greiner\greingr01,28,DET,82,0.292,84,0.4,0.097,1.20%,37.80%,11.00%,84.3,28.60%,23.80%,40.50%,26.20%,0.71,40.50%,40.50%,19.00%,-0.3,-0.10%,-1.4,24%,,27%
